"","ObjectId","mode","season","route_id","route_name","route_variant","stop_sequence","direction_id","day_type_id","day_type_name","time_period_id","time_period_name","stop_name","stop_id","average_ons","average_offs","average_load","num_trips"
"1",49653,3,"Fall 2019",28,28,"28-_-0",19,0,"day_type_01","weekday","time_period_02","EARLY_AM","WARREN ST @ WAUMBECK ST",410,1.27,0.47,15.68,6
"2",49656,3,"Fall 2019",28,28,"28-_-0",6,0,"day_type_01","weekday","time_period_03","AM_PEAK","RUGGLES LOWER BUSWAY",17862,9.64,0,9.65,13
"3",49658,3,"Fall 2019",28,28,"28-_-0",7,0,"day_type_01","weekday","time_period_03","AM_PEAK","MALCOLM X BLVD @ KING ST",11257,3.3,0.25,12.78,13
"4",49661,3,"Fall 2019",28,28,"28-_-0",8,0,"day_type_01","weekday","time_period_03","AM_PEAK","MALCOLM X BLVD OPP MADISON PA",1259,0.09,0.32,12.58,13
"5",49662,3,"Fall 2019",28,28,"28-_-0",20,0,"day_type_01","weekday","time_period_02","EARLY_AM","WARREN ST @ BRUNSWICK ST",411,1.07,0.18,16.53,6
"6",49665,3,"Fall 2019",28,28,"28-_-0",9,0,"day_type_01","weekday","time_period_03","AM_PEAK","MALCOLM X BLVD OPP O'BRYANT H",11323,0.17,2.61,10.14,13
"7",49666,3,"Fall 2019",28,28,"28-_-0",21,0,"day_type_01","weekday","time_period_02","EARLY_AM","WARREN ST @ CRAWFORD ST",412,1.9,0.8,17.65,6
"8",49722,3,"Fall 2019",28,28,"28-_-0",10,0,"day_type_01","weekday","time_period_03","AM_PEAK","MALCOLM X BLVD @ SHAWMUT AVE",11259,0.12,0.42,9.83,13
"9",49723,3,"Fall 2019",28,28,"28-_-0",11,0,"day_type_01","weekday","time_period_03","AM_PEAK","DUDLEY STATION",64000,7.06,1.62,15.29,13
"10",49724,3,"Fall 2019",28,28,"28-_-0",22,0,"day_type_01","weekday","time_period_02","EARLY_AM","BLUE HILL AVE @ WAYNE ST",413,2.12,0.45,19.28,6
"11",49726,3,"Fall 2019",28,28,"28-_-0",12,0,"day_type_01","weekday","time_period_03","AM_PEAK","WARREN ST OPP KEARSARGE AVE",399,0.25,0.39,15.17,13
